UniqueID,Class,Order,Family,ScientificName,CommonName,Plate,Ref,MichiganSleepingBear,GreatSmokyMountains,Acadia,YellowstoneGrandTeton,Glacier,JoshuaTree,Zion,Saguaro,MichiganIsleRoyale,Everglades,NorthCascadesOlympic,Redwoods,Yosemite,Habitat,SizeMinimumInches,SizeMaximumInches,Notes,DailyActivity,YearlyActivity,IUCN,Diet,Predators
H0011,Amphibia,Caudata,Ambystomidae,Ambystoma maculatum,Spotted Salamander,"51, 54",294,UNKNOWN,UNCOMMON,UNKNOWN,,,,,,UNKNOWN,,,,,"Hardwood forests and hillsides around pools and flooded depressions. Adult spotted salamanders are most abundant in deciduous bottomland forests along rivers, but can be found in upland mixed or coniferous forests if the climate is sufficiently damp and there are ponds suitable for breeding. Adults are rarely seen because they spend most of their time hiding in leaf litter, under fallen wood, or in tunnels below ground.",6,9.75,"This species spends most of the time underground, so adults are rarely encountered. Spotted Salamanders often share a breeding pond with Marbled Salamanders; their larvae are commonly seen together. Acid rains have so polluted the water in some Northeast ponds that eggs cannot develop and populations have died out. Developing egg masses turn green from a beneficial algae. Adult spotted salamanders are quite sedentary, only moving as far as necessary to find food and cool moist refuges underground. They only emerge from their burrows if they cannot get enough food below ground, and then only on moist or rainy nights. They stay hidden if conditions are too cold, too warm, or too dry.",Nocturnal,Spring Fall,Least Concern,"The larvae are aggressive predators. Prey includes isopods, frog tadpoles, and other salamander larvae. Adults use their sticky tongue to catch food. Their diet consists mainly of forest floor invertebrates, including earthworms, snails, slugs, millipedes, centipedes, spiders, and a variety of insects.","Hatchlings are eaten by adults newts, frog tadpoles, crayfish, fish, wading birds, and snakes. Adults are preyed upon by large animals, including skunks, raccoons, turtles, and snakes. "
H0012,Amphibia,Caudata,Ambystomidae,Ambystoma opacum,Marbled Salamander,"44, 45",295,,UNCOMMON,,,,,,,,,,,,"Damp woodlands, often close to ponds or streams. They occasionally can be found around dry hillside, but never far from a moist environment.",3.5,5,"For the most part, they are a solitary species, spending most of their time under leaf litter or underground.The nesting female typically curls herself around eggs while waiting for rain to fill nest cavity. The larvae usually hatch a few days after inundation. If autumn rains are scant, eggs may not hatch until spring.",Nocturnal,Spring Summer Fall,Least Concern,"Small worms, insects, slugs, and even snails make up its diet. Larvae are also active predators, and may be the dominant predators in their temporary ponds.","They are preyed upon by various woodland predators, such as snakes, owls, raccoons, skunks, shrews, and weasels. Poison glands located on the tail provide a degree of protection."
H0013,Amphibia,Caudata,Ambystomidae,Ambystoma tigrinum,Tiger Salamander,"22, 37, 38, 39, 40, 46, 49",298,UNKNOWN,,,COMMON,,,,,,,,,,"Varied; Arid sagebrush plains, pine barrens, mountain forests, and damp meadows where ground is easily burrowed; also in mammal and invertebrate burrows; sea level to 11000ft. While they are well suited for terrestrial existence in terms of their skin consistency and thickness, they do need to be able to burrow underground in order to seek the proper humidity levels. Another requirement is that they live close enough for permanent access to ponds and other small waters for their breeding.",6,13.375,"Often seen at night after heavy rain, especially during breeding season. They live underground most of the year and usually dig their own burrows.They are voracious consumers of earthworms, large insects, small mice, and amphibians. ",Nocturnal,Spring Summer Fall,Least Concern,"Their food source consists of worms, snails, insects, and slugs.","They are eaten by badgers, snakes, bobcats, and owls. Larvae are eaten by aquatic insects, the larvae of other salamanders, and snakes."
H0014,Amphibia,Caudata,Ambystomidae,Dicamptodon tenebrosus,Coastal Giant Salamander,"23, 41",300,,,,,,,,,,,,ABUNDANT,,"Rivers, their tributaries, and surrounding cool, humid forests. They type of stream bed they prefer is composed of large gravel to small boulders having some large logs in them with very little silt on the bottom of the stream. During rainy periods, this species may also be found under forest litter such as leaves and small branches.",7,11.75,"Most salamanders are voiceless, but the Pacific Giant has been known to emit a low-pitched yelp when captured. Land-dwelling adults live under logs, rocks, and forest litter but are sometimes seen crawling on the surface or even climbing in bushes or trees. They eat large insects, mice, salamanders, and garter snakes. Voracious larvae cannibalize smaller larvae and eat Tailed Frog tadpoles and insects. They frequently dig to find food and protective cover. They avoid brightly lit areas and direct sunlight, and prefer damp surroundings where their skin will not dry out.",Nocturnal,Spring Summer Fall,Near Threatened,Terrestrial adults emerge from logs and other surface cover on rainy nights and forage the forest floor. Large members of this species can handle eating small mammals such as mice and shrews or even snakes. They are sit and wait predators who quickly lunge short distances in order to obtain prey.,"Natural predators include weasels, river otters, water shrews, garter snakes, and salmonids."
H0015,Amphibia,Caudata,Ambystomidae,Ambystoma gracile,Northwestern Salamander,57,290,,,,,,,,,,,UNCOMMON / COMMON,COMMON,,"Humid sites, open grassland to dense forests, sea level to 10000ft. Adults are often found beneath rotting logs, leaf litter, and debris along stream banks. Most of their time is spent underground. They are most frequently seen during fall rains and spring migrations to their aquatic breeding sites, which are usually temporary ponds with no fish presence.",5.625,8.625,"Secretive and rarely seen except during breeding season. When bothered, adults secrete a sticky, white, mildly irritating substance from glands on head, body, and tail. Adults live in the abandoned underground burrows of other animals, or under rotten stumps, lose bark, etc. They are typically nocturnal and emerge from hiding after a rainfall, possibly to forage on worms and larvae forced up by flooding. When alarmed, this species becomes aggressive and secretes a poisonous milky substance from glands.",Nocturnal,Spring Summer Fall Winter,Least Concern,"These salamanders catch and consume soft-bodied invertebrates such as annelids, mollusks, amphipods, isopods, mites, and dipterans.",The main predator are trout.
H0016,Amphibia,Caudata,Plethodontidae,Aneides aenues,Green Salamander,85,302,,,,,,,,,,,,,,"They prefer rocky habitats, including sandstone and limestone outcroppings or caves and are most often found in tree or rock crevices. When not tucked into a crevice, green salamanders can be found among other moist or damp environments, including bark, leaves and logs.To 4000 feet.",3.125,5.5,"Nocturnal; it hides in rock crevices or rotting trees by day. By night, it climbs about on vertical surfaces, seeking beetles, mosquitoes, and ants. Hatchlings look like miniature adults.",Nocturnal,Summer Fall,Near Threatened,"They feed on a wide variety of small invertebrates, including arachnids, insects, snails, and slugs.",Snakes
H0017,Amphibia,Caudata,Plethodontidae,Gyrinophilus porphyriticus,Spring Salamander,"101, 127, 130",329,,UNCOMMON,,,,,,,,,,,,"Springs, cool and clear mountain brooks, shaded seepages, and wet caves. Can be found hiding under rocks, large objects, canopies, or fallen trees in mature forests. 300 - 6600ft",4.25,8.625,"Ecology poorly known. At night during downpours, these salamanders may leave their aquatic homes and prowl about for food, including other salamanders. Can be found swimming freely through streams in an eel-like motion with their legs held tightly to their body.",Nocturnal,Spring Summer Fall Winter,Least Concern,"They have a wide variety of prey, including earthworms, salamander eggs, crickets, slugs, spiders, and small salamanders.","Large spring salamanders, northern water snakes, and common garter snakes are frequently found preying upon small salamanders."
H0018,Amphibia,Caudata,Plethodontidae,Hemidactylium scutatum,Four-Toed Salamander,103,331,UNKNOWN,UNCOMMON,COMMON,,,,,,,,,,,"Bogs, boggy streams, and floodplains; usually associated with sphagnum moss. Overwinters in terrestrial habitat, using old burrows or cavities created by rotting roots, below the freezing depth. They prefer mature, mesic forests with dense canopy cover to preserve body moisture, an abundance of downed woody debris for coverand foraging opportunities, and vernal pools, ponds, bogs, shallow marshes, or other fishless bodies of water for nesting. Wooded wetlands such as seepage swamps or cedar swamps with many moss mats are ideal.",2,4,"Adults live under stones and leaf litter in hardwood forests surrounding boggy areas; the need for this special habitat accounts for its spotty distribution. When a predator grabs the Four-Toad tail, it readily breaks off - a twitching morsel that distracts the enemy. A new tail is soon regenerated.",Nocturnal,Spring Summer Fall Winter,Least Concern,"Their diets consist mainly of insects and their larvae, spiders, mites, worms, and snails.","Shrews, snakes, birds, fish, and other carnivores prey upon this salamander."
H0019,Amphibia,Caudata,Plethodontidae,Plethodon dorsalis,Zigzag Salamander,96,337,,UNKNOWN,,,,,,,,,,,,"Moist rocky retreats - ravines, canyons, escarpments, talus rubble, spring seepages, and caves. 400 - 2500 ft",2.5,4.375,"The Zigzag spens May through September underground. During fall, winter, and early spring it can be found in wet rocky areas or near fallen logs.",Nocturnal,Spring Summer Fall Winter,Least Concern,"Small invertebrates, especially spiders and beetles.","Snakes, birds, and small mammals prey upon this salamander."
H0020,Amphibia,Caudata,Plethodontidae,Plethodon cinereus,Red-Backed Salamander,"71, 117",336,COMMON,,UNKNOWN,,,,,,UNKNOWN,,,,,"Cool moist coniferous forest, mixed, and hardwood forests; sea level to 5600ft. They are found in leaf litter on the ground as well as under rocks, logs, or in small burrows. They must live in a moist environment.",2.5,5,"Completely terrestrial. Most abundant and commonly encountered salamander throughout much of its range. Because of its ability to tolerate cold, the Red-backed has survived in glaciated areas of northeast US and southeast Canada. During the day it hides under stones or woodland debris. At night it searches amid moist leaf litter for tiny invertebrates. During warm spells in winter it may be found at the surface. In dry weather it retreats underground and only surfaces after rainstorms.",Any,Spring Summer Fall,Least Concern,"Eats a variety of small invertebrates, including arachnids, worms, snails, larvae, and insects.","Predators include small mammals, snakes, ground-foraging birds, and larger salamanders."
H0021,Amphibia,Caudata,Plethodontidae,Plethodon metcalfi,Southern Gray-Cheeked Salamander,,,,COMMON,,,,,,,,,,,,"Found in forests in mountainous terrain. Live in cool, wet, temperate forests and at elevations around 1000 meters above sea level. Leaf litter often moist. Often found under rocks, logs, or debris on the forest floor.",5,5.5,They are restricted in higher elevations in spruce-fir forests. ,Nocturnal,Spring Summer Fall,Least Concern,"They consume small forest floor invertebrates, including millipedes, earthworms, crane flies, spiders, and centipedes.","Predators include small mammals, snakes, ground-foraging birds, and larger salamanders."
H0022,Amphibia,Caudata,Plethodontidae,Plethodon jordani,Red Cheeked Salamander,"133, 136, 138",341,,COMMON,,,,,,,,,,,,"Humid, heavily forested slopes, with moss-covered logs and slabs of rock; most populations live at higher elevations 700-6400ft",3.25,7.25,"Well known for its extensive geographical variation. Early herpetologists thought the various color forms were different species or subspecies. Occasionally this salamander hybridizes with the closely related Slimy Salamander. Active April to November, it is usually seen well away from water, under rotting logs, flat stones, or at night at the entrance of small burrow holes. The cheek patches and leg markings are mimicked by the Imitator Salamander.",Nocturnal,Summer Fall,Near Threatened,"Food items include annelids, snails, millipedes, centipedes, isopods, spiders, and a variety of insects.",Common garter snakes are the largest threats to these salamanders.
H0023,Amphibia,Caudata,Plethodontidae,Plethodon glutinosus,Slimy Salamander,"140 , 141",340,,COMMON,,,,,,,,,,,,"Shaded ravine slopes, shale banks, wooded floodplains, cave entrances. Typically located on the underside of debris such as logs and stones during the day. Near sea level to 5500ft.",4.5,8.125,"Nocturnal. Appears at the surface in early spring and, except during summer dry spells, can be found under flat rocks and rotten logs until the onset of subfreezing temperatures in fall. After showers, the Slimy moves about the forest floor in search of invertebrate prey. Slimy's skin glands secrete a gluey substance that is next to impossible to remove from the fingers.",Nocturnal,Spring Summer Fall,Least Concern,"Prey consists mainly of ants, followed by beetles, sowbugs, and earthworms.",Predators include birds and small mammals.
H0024,Amphibia,Caudata,Plethodontidae,Plethodon vandykei,Van Dyke's Salamander,111,349,,,,,,,,,,,N / UNCOMMON,,,"Moist coniferous forest; in seepages, streamsides, talus slopes, and forest litter; to 5000ft.",3.75,4.875,"Most aquatic woodland salamander. Found under rocks, logs, and leaf litter in wet areas. It readily takes to fast-moving water when disturbed. The Tailed Frog shares Van Dyke's habitat.",Nocturnal,Spring Fall,Least Concern,It feeds on insects.,Predators include birds and small mammals.
H0025,Amphibia,Caudata,Plethodontidae,Plethodon vehiculum,Western Red-Backed Salamander,119,349,,,,,,,,,,,RARE / ABUNDANT,,,"Variety of habitats, including moisture-laden rock slides, damp, shaded ravines; Douglas-Fir forests; near sea level to 4100ft.",2.75,4.5," Most numerous and wide-ranging western woodland salamandewr. It is found under stones, logs, moss, and woodland debris, usually in situations less damp than those preferred by Dunn's salamander.",Nocturnal,Summer Fall,Least Concern,"They consume terrestrial invertebrates such as annelids, snails, spiders, millipedes, centipedes, moths, butterflies, bees, and ants.","Garter snakes, Jays, shrews, and some beetles."
H0026,Amphibia,Caudata,Plethodontidae,Pseudotriton montanus,Mud Salamander,"98, 99, 128, 131",352,,RARE,,,,,,,,,,,,"The mud salamander inhabits swamps in low elevations, bogs, seeps, springs, and streams that not only provide a muddy bottom, but also clean and clear water. The mud salamander, a burrowing species, seeks shelter in burrows beneath leaf litter, logs, stones, or bark. The mud salamander may also build tunnels in creek banks, as well. These amphibians spend most of their lives in close proximity to water, but also burrow into the soil of the surrounding area. Larvae are usually underground in muddy springs; they are often found in leaf litter, debris, and muck of muddy springs, seeps, and streams. After they lose their gills and become adults, they make burrows in muddy areas. They often use burrows of crayfish and will sit with their heads sticking out of these burrows waiting for prey to pass by.",2.875,7.625,"Aquatic larvae live in silt or decaying vegetation; adults in much, under logs or stones, or in mud burrows along stream banks. During the hottest times of the year, they are usually only found at night or during rains foraging for a short time before they return to their burrows in the mud.",Nocturnal,Spring Summer Fall,Least Concern,"Earthworms, insects, and arthropods. They may also eat other salamanders.",Garter snakes and water snakes are the main predators of mud salamanders.
H0027,Amphibia,Caudata,Plethodontidae,Pseudotriton ruber,Red Salamander,"129, 132",353,,COMMON,,,,,,,,,,,,"Springs, their seepages, cool clear brooks and surrounding woodlands, swamps, and meadows. Elevations to 5000ft. ",3.875,7.125,"More terrestrial than the Mud Salamander, the Red may be encountered some distance from water, but usually is seen in the leaf litter of spring-fed brooks or under nearby forest debris or rocks. It is fond of earthworms.",Nocturnal,Spring Summer Fall Winter,Least Concern,"They feed on a large variety of invertebrates, including mites, spiders, insects, centipedes, millipedes, beetles, snails, ants, earthworms, and flies.","They make up an important food supply for a wide variety of snakes, birds, and mammals. "
H0028,Amphibia,Caudata,Plethodontidae,Eurycea bislineata,Two-Lined Salamander,"88, 121",320,,COMMON,COMMON,,,,,,,,,,,"Its natural habitats are temperate forests, temperate shrubland, rivers, intermittent rivers, freshwater marshes, freshwater springs. Near sea level to 6000ft.",2.5,4.75,"The movements of juveniles and adults usually occurs in the first hour after dark, when they emerge from under their retreats and forage along the stream bank or forest floor.",Nocturnal,Spring Summer Fall,Least Concern,"Adult diets consist of insects such as beetles, mayflies, and springtails, as well as spiders, pillbugs, and centipedes.",Predators include birds and small mammals.
H0029,Amphibia,Caudata,Plethodontidae,Eurycea longicauda,Long-Tailed Salamander,"113, 114, 123",323,,UNCOMMON,,,,,,,,,,,,"Stream sides, spring runs, seepages, cave mouths, forested floodplain in Deep South. With wet weather, they may venture into wooded terrestrial habitats. They hide in rock crevices or under rocks, logs, etc.",3.875,7.875,"At night during warm, rainy weather this salamander ventures about on the forest floor in search of tiny invertebrate prey. ",Nocturnal,Spring Summer Fall,Least Concern,"They typically eat immature arthropods, worms, and other terrestrial invertebrates.",Known predators include sculpins and sunfish.
H0030,Amphibia,Caudata,Plethodontidae,Desmognathus fuscus,Dusky Salamander,89,313,,COMMON,COMMON,,,,,,,,,,,"Rock-strewn woodland creeks, seepages and springs in northern areas; floodplains, sloughs, and mucky sites along upland streams in southern areas. Near sea level to 5300ft. They are most common where water is running or trickling. They hide under various objects, such as rocks or leaves. They may enter burrows for protection.",2.5,5.5,"The northern dusky salamander can be differentiated from other lungless salamanders in that they have a distinguishing pale-colored line that runs from behind their eyes to the rear of the jaw, and heavier set bodies with longer hind legs than front legs.",Nocturnal,Spring Summer Fall,Least Concern,"They typically eat earthworms, slugs, snails, crustaceans, spiders, mites, flies, ants, beetles, centipedes, moths, and mayflies.","They have a number of predators including raccoons, birds, striped skunks, shrews, water snakes, garter snakes, spring salamanders, and red salamanders."
H0031,Amphibia,Caudata,Plethodontidae,Desmognathus aeneus,Seepage Salamander,94,311,,RARE,,,,,,,,,,,,"Moist hardwood or mixed forests near small creeks, springs, and seepage areas; damp shaded ravines. Near sea level to 4500ft. A terrestrial species.",1.5,2.25,"Seepage salamanders get their name from the seepages where they are often found. However, they are also found near streams and under leaf litter, leaf mold, and rotten logs. They are a terrestrial species. Seepage Salamanders frequent leaf litter. They relish springtails, beetle larvae, and mites. They do not experience much competition because it is not disturbed by the semi-aquatic and aquatic salamanders. It is seldom seen on the surface.",Nocturnal,Spring Summer Fall,Near Threatened,"Food sources include arthropods, insect larvae, and springtails..",Predators include birds and small mammals.
H0032,Amphibia,Caudata,Plethodontidae,Desmognathus imitator,Imitator Salamander,134,314,,COMMON,,,,,,,,,,,,"Cool, moist red spruce-Fraser fir and hardwood forests; chiefly between 4000 - 5500ft.",2.75,4,"Seen under rocks and rotting logs on forest floor, or amid wet gravel and leaf litter along edge of seepages, springs, or intermittent brooks.",Nocturnal,Spring Summer Fall,Near Threatened,Small invertebrates.,"Birds, mammals, and snakes."
H0033,Amphibia,Caudata,Plethodontidae,Desmognathus monticola,Seal Salamander,65,315,,COMMON,,,,,,,,,,,,"Banks of mountain streams, small rocky spring-fed brooks in hardwood-shaded ravines. Near sea level to 5450 ft.",3,5.875,"This stream-bank dweller is never far from water and quickly takes to it when disturbed. By day it hides under rocks or in burrows, dining on passing ants, beetles, and occasionally other salamanders. Dusky salamanders may share its habitat.",Nocturnal,Spring Summer Fall,Least Concern,Tiny aquatic insects and other invertebrates such as caddisflies or worms.,Unknown
H0034,Amphibia,Caudata,Plethodontidae,Desmognathus wrighti,Pygmy Salamander,66,318,,COMMON,,,,,,,,,,,,It lives in depressions in moss and leaf litter on the forest floors and is most often found in spruce-fir forests of high elevation. The salamander goes to seepages and stream banks for egg-laying in summer and early autumn.,1.5,2,"By day, this diminutive creature hides under leaf litter, stones near seeps, or rotting logs. At night, during wet weather, it forages on ground surfaces or tree trunks for small insects. During fall, they congregate in underground seepage areas, spending the winter there. They are cryptically colored and tend to spend much of their time under cover to avoid detection.",Nocturnal,Spring Summer,Least Concern,Small arthropods.,Spring salamanders and carabid beetles.
H0035,Amphibia,Caudata,Plethodontidae,Ensatina eschscholtzi,Ensatina,"104, 105, 107, 108",319,,,,,,,,,,,UNCOMMON / ABUNDANT,ABUNDANT,UNCOMMON,"Douglas Fir - vine maple forests in NW areas. Redwood forest, chaparral, and coast live oak-black walnut woodlands along coast. Yellow pine - black oak - incense cedar forests of Sierra Nevadas. To 10000ft.",3,5.875,"After the fall rains, this wide ranging salamander remains active until the end of May or sometimes through June. It is found under rocks and rotting logs in moist forest areas and shaded canyons. In cold or dry weather, it retreats into caves, animal burrows, and crevices among rotted root and logs. When threatened, it assumes a stiff-legged, sway-backed stance, with tail elevated and arched. If the tail is seized, it easily snaps off, allowing escape.",Nocturnal,Fall Spring,Least Concern,"Small spiders, beetles, worms, and snails.","Jays, garter snakes, and raccoons."
H0036,Amphibia,Caudata,Rhyacotritonidae,Rhyacotriton variegatus,Southern Torrent Salamander,,,,,,,,,,,,,,COMMON,,"Found in shallow, cold, clear well-shaded streams, waterfalls, and seepages, particularly those running through talus and under rocks all year, in mature to old-growth forests. Occasionally found in riparian vegetation adjacent to water, but usually found in contact with water.",1.5,2.4,"Highly aquatic and closely associated with cool, clear, permanent water. ",Nocturnal,Spring Fall Winter,Least Concern,"Aquatic and semi-aquatic invertebrates, including amphipods and springtails.","Pacific giant salamanders, garter snakes, and salmonid fishes."
H0037,Amphibia,Anura,Leiopelmatidae,Ascaphus truei,Tailed Frog,165,359,,,,,,,,,,,UNCOMMON / COMMON,ABUNDANT,,"Usually clear, cold swift-flowing mountain streams; sometimes found near water in damp forests or in more open areas in cold, wet weather. ",1,2,"Aquatic. It is a primitive frog with ribs and vestigial tail-wagging muscles. Sucking mouthparts equip tadpoles for clinging to rocks in strong currents. They will hang on to anything solid, including human flesh. They feed on algae and invertebrates and transform in 1-3 years.",Nocturnal,Spring Summer Fall Winter,Least Concern,"Insects, mollusks, and algae.","Garter snakes, shrews, giant salamanders, trout, dippers, and sculpins."
