UniqueID,Class,Order,Family,ScientificName,CommonName,Ref,MichiganSleepingBear,GreatSmokyMountains,Acadia,YellowstoneGrandTeton,Glacier,JoshuaTree,Zion,Saguaro,MichiganIsleRoyale,Everglades,NorthCascadesOlympic,Redwoods,Yosemite,Habitat,LengthInches,WingspanInches,Notes,DailyActivity,YearlyActivity,IUCN,Diet,Predators
B0011,Aves,Anseriformes,Anatidae,Anas crecca,Green-Winged Teal,42,,OCCASIONAL - W,COMMON - A,COMMON - A,UNCOMMON - S,,COMMON - W,,,UNCOMMON - W,RARE - A/ UNCOMMON - A,OCCASIONAL - W,RARE - W,"Marshes, rivers, bays. In summer, open country near shallow freshwater lakes and marshes. In migration and winter, found on coastal estuaries and tidal marshes, also on shallow lakes and ponds inland, seeming to prefer those with much standing or floating vegetation.",,,,,,,,
B0012,Aves,Anseriformes,Anatidae,Mareca americana,American Wigeon,43,,,,UNKNOWN - S/ COMMON - S,OCCASIONAL - S,,,,,OCCASIONAL - W,,OCCASIONAL - W,OCCASIONAL - W,"Marshes, lakes, bays, fields. In summer mainly on inland marshes, especially larger marshes, not often at small ponds. In migration and winter on coastal estuaries, fresh or salt marshes, inland lakes and ponds. May winter on large deep lakes.",,,,,,,,
B0013,Aves,Anseriformes,Anatidae,Anas acuta,Northern Pintail,44,UNCOMMON - S,,,S COMMON/ UNCOMMON - A,UNCOMMON - S,,,,OCCASIONAL - S,UNCOMMON - W,OCCASIONAL - W/ RARE - W,OCCASIONAL - W,OCCASIONAL - A,"Marshes, prairies, fresh ponds, lakes, salt bays. Summers in wide variety of open habitats, including prairies, farmland, northern tundra, near bodies of water. In migration and winter around any shallow waters with exposed mudflats, including fresh and brackish marshes, lakes, flooded fields.",,,,,,,,
B0014,Aves,Anseriformes,Anatidae,Aythya valisineria,Canvasback,45,,,,UNCOMMON - S/ UNCOMMON - S,RARE - S,,,,,,OCCASIONAL - W/ OCCASIONAL - W,OCCASIONAL - W,,"Lakes, salt bays, estuaries; in summer, fresh marshes. For nesting shallow marshes in prairie regions. Also large marshy lake complexes to the north, in boreal forest regions, and a few to edge of tundra. In migration mostly on large lakes. Winters mainly near coast, on protected bays and estuaries; also on lakes in interior.",,,,,,,,
B0015,Aves,Anseriformes,Anatidae,Aythya affinis,Lesser Scaup,47,,RARE - W,,S COMMON/ UNCOMMON - S,UNCOMMON - S,,,,,COMMON - W,RARE - W/ UNCOMMON - W,OCCASIONAL - W,OCCASIONAL - W,"Marsh ponds (summer), lakes, bays, estuaries. Summers around large marshes in prairie or forested regions. Winters on lakes, reservoirs, rivers, sheltered areas of coastal bays. Overlaps extensively with Greater Scaup, especially in winter, but at that season the Lesser is far more likely to be found on freshwater lakes and ponds well inland.",,,,,,,,
B0016,Aves,Anseriformes,Anatidae,Somateria spectabilis,King Eider,49,,,UNKNOWN - W,,,,,,,,,,,"Rocky coasts, ocean. Nests on high arctic tundra, both along coast and around freshwater lakes far inland. In winter on ocean, mostly in far north, including around edge of pack ice. Less tied to coast than Common Eider, may occur farther inland in summer and farther offshore in winter. Rarely on fresh water in winter, as on the Great Lakes.",,,,,,,,
B0017,Aves,Anseriformes,Anatidae,Melanitta perspicillata,Surf Scoter,51,,,,,,,,,,,N/ ABUNDANT - W,ABUNDANT - W,,"Ocean surf, salt bays, marinas; in summer, fresh Arctic lakes, tundra. Breeding habitat is near lakes and slow-moving rivers in far north, in sparsely forested or semi-open terrain, sometimes out on open tundra. In winter mostly on ocean in shallow bays or estuaries. Some may winter on Great Lakes, rarely on other bodies of fresh water.",,,,,,,,
B0018,Aves,Anseriformes,Anatidae,Histrionicus histrionicus,Harlequin Duck,51,,,COMMON - W,UNCOMMON - S,UNCOMMON - S,,,,,,UNCOMMON - W/ COMMON - W,OCCASIONAL - W,,"Mountain streams in summer; rocky coastal waters in winter. Nests along shallow fast-moving rivers and streams, even around rapids and waterfalls, often in forested country. Generally not on streams fed by melting glaciers (where food may be scarce). At other seasons mostly on ocean, on exposed coastlines where waves pound on rocks, seldom on sheltered bays.",,,,,,,,
B0019,Aves,Anseriformes,Anatidae,Bucephala islandica,Barrows Goldeneye,52,,,,ABUNDANT - A,COMMON - A,,,,,,COMMON - W/ UNCOMMON - W,,,"Lakes, ponds. In winter, coastal waters, rivers. Breeds on cold inland waters, such as small lakes, rivers, beaver ponds, mostly in forested country but also in open terrain. In winter mainly on shallow, protected coastal waters, such as bays and estuaries. May winter far inland on lakes and rivers, even in very cold regions where hot springs keep water open.",,,,,,,,
B0020,Aves,Anseriformes,Anatidae,Bucephala clangula,Common Goldeneye,52,COMMON - W,,COMMON - W,COMMON - W,UNCOMMON - W,,,,COMMON - W,,COMMON - W/ UNCOMMON - W,OCCASIONAL - W,OCCASIONAL - W,"Forested lakes, rivers; in winter, also salt bays, seacoasts. In breeding season requires large trees (for nesting cavities) close to clear, cold water, as around northern lakes, bogs, rivers. In winter mostly on shallow, protected bays and estuaries, also on rivers and lakes.",,,,,,,,
B0021,Aves,Anseriformes,Anatidae,Clangula hyemalis,Long-Tailed Duck,53,COMMON - W,,UNKNOWN - W,,,,,,COMMON - W,,OCCASIONAL - W/ UNCOMMON - W,,,"Ocean, large lakes; in summer, tundra pools and lakes. For breeding season favors both low-lying tundra and hilly areas, barren ground and edges of northern forest, as long as open water is nearby. At other seasons mostly on ocean, including far from shore among pack ice; also on Great Lakes and sometimes elsewhere on fresh water.",,,,,,,,
B0022,Aves,Anseriformes,Anatidae,Mergus merganser,Common Merganser,54,COMMON - A,OCCASIONAL - W,UNCOMMON - A,COMMON - A,COMMON - A,,,,COMMON - A,,COMMON - A/ COMMON - A,RARE - A,RARE - A,"Wooded lakes, rivers; in winter, rarely coastal bays. Mainly around fresh water at all seasons. Summer: on shallow but clear rivers and lakes in forested country; avoids dense marshes and muddy waters. Winter: on lakes, large rivers; occasionally on bays along coast.",,,,,,,,
B0023,Aves,Anseriformes,Anatidae,Mergus serrator,Red-Breasted Merganser,54,COMMON - A,,COMMON - W,,,,,,COMMON - A,COMMON - W,RARE - W/ COMMON - W,UNCOMMON - W,,"Lakes, open water; in winter, coastal bays. During nesting season around lakes and rivers, within the northern forest and northward into tundra regions. In winter mostly on coastal waters, including bays, estuaries, and open ocean; a few winter on ice-free reservoirs and large rivers.",,,,,,,,
B0024,Aves,Anseriformes,Anatidae,Lophodytes cucullatus,Hooded Merganser,55,UNCOMMON - A,,UNCOMMON - A,N/ UNCOMMON - S,,,,,UNCOMMON - A,UNCOMMON - W,RARE - A/ UNCOMMON - A,RARE - W,RARE - W,"Wooded lakes, ponds, rivers. In summer in forested country, along creeks, narrow rivers, edges of ponds. May be in more open marsh habitats if artificial nest sites are provided. In winter on woodland ponds, wooded swamps, fresh and brackish coastal estuaries.",,,,,,,,
B0025,Aves,Anseriformes,Anatidae,Bucephala albeola,Bufflehead,55,COMMON - W,,ABUNDANT - W,COMMON - W,COMMON - A,,,,COMMON - W,,COMMON - W/ COMMON - W,RARE - W,RARE - W,"Lakes, ponds, rivers; in winter, salt bays. Preferred nesting habitat is around ponds and small lakes in rather open mixed coniferous and deciduous forest, also burned areas and aspen groves; less often in pure coniferous forest, near rivers or larger lakes. In winter on sheltered bays and estuaries, also on lakes, ponds, and slow-moving rivers inland.",,,,,,,,
B0026,Aves,Anseriformes,Anatidae,Oxyura jamaicensis,Ruddy Duck,56,,,,S COMMON/ UNCOMMON,UNCOMMON - S,,,,,COMMON - W,RARE - W/ OCCASIONAL - W,RARE - A,OCCASIONAL - A,"Fresh marshes, ponds, lakes; in winter, salt bays. Breeds on fresh or alkaline lakes and ponds with extensive marshy borders and with areas of open water. In winter on protected shallow bays and estuaries along coast; also on ice-free lakes and ponds in the interior, including those with little or no marshy border.",,,,,,,,
B0027,Aves,Anseriformes,Anatidae,Branta canadensis,Canada Goose,58,COMMON - A,UNCOMMON - A,COMMON - A,ABUNDANT - A,COMMON - S,,RARE - W,,COMMON - A,,COMMON - A/ COMMON - A,RARE - A,COMMON - S,"Lakes, ponds, bays, marshes, fields. Very diverse, using different habitats in different regions; always nests near water, winters where feeding areas are within commuting distance of water. Nesting habitats include tundra, fresh marshes, salt marshes, lakes in wooded country. Often feeds in open fields, especially in winter. In recent years, also resident in city parks, suburban ponds.",,,,,,,,
B0028,Aves,Anseriformes,Anatidae,Cygnus olor,Mute Swan,63,COMMON - A,,,,,,,,OCCASIONAL - A,,,,,"Ponds, both fresh and salt; coastal lagoons, salt bays. In North America found in wide variety of wetland areas including all types of marshes, lakes, park ponds; often in close association with humans, but also in some remote wild areas.",,,,,,,,
B0029,Aves,Gaviiformes,Gaviidae,Gavia immer,Common Loon,66,UNCOMMON - S,OCCASIONAL - W,COMMON - A,,,,,,COMMON - S,,UNCOMMON - W/ COMMON - W,COMMON - W,,"Wooded lakes, tundra ponds, coastal waters. In summer mainly on lakes in coniferous forest zone, also beyond treeline onto open tundra. Chooses large lakes with ample room for takeoff and with good supply of small fish. In winter mainly on ocean, usually fairly shallow waters close to shore; also on large lakes and reservoirs that remain ice-free.",,,,,,,,
B0030,Aves,Podicipediformes,Podicipedidae,Aechmophorus occidentalis,Western Grebe,69,,,,RARE - S/ UNCOMMON - S,UNCOMMON - S,,UNKNOWN - A,,,,UNCOMMON - W/ COMMON - W,COMMON - A,,"Rushy lakes, sloughs; in winter, bays, ocean. Summers mainly on fresh water lakes with large areas of both open water and marsh vegetation; rarely on tidal marshes. Winters mainly on sheltered bays or estuaries on coast, also on large fresh water lakes, rarely on rivers.",,,,,,,,
B0031,Aves,Podicipediformes,Podicipedidae,Podiceps auritus,Horned Grebe,70,,,UNKNOWN - W,,UNCOMMON - S,,,,,COMMON - W,,COMMON - W,,"Lakes, ponds; coastal waters. Summers on lakes having both open water and marsh vegetation, surrounded by northern forest, prairie, sometimes out onto southern edges of tundra. Winters mainly on ocean, including protected bays and exposed shores. Also some in winter on large lakes and reservoirs, more commonly so in recent years.",,,,,,,,
B0032,Aves,Podicipediformes,Podicipedidae,Podiceps nigricollis,Eared Grebe,70,,,,UNCOMMON - S/ COMMON - S,RARE - S,,COMMON - W,,,,,UNCOMMON - A,OCCASIONAL - S,"Prairie lakes, ponds; in winter, open lakes, salt bays. Favored nesting areas are lakes or large ponds with extensive marshy borders. Opportunistic, it may quickly occupy new or temporary habitats. During migration and winter, mainly on large freshwater or alkaline lakes. Also on coastal bays, but seen less often on ocean than Horned Grebe.",,,,,,,,
B0033,Aves,Podicipediformes,Podicipedidae,Podilymbus podiceps,Pied-Billed Grebe,71,UNCOMMON - S,RARE - W,RARE - S,S COMMON/ UNCOMMON - S,RARE - S,,,,UNCOMMON - S,COMMON - A,UNCOMMON - A/ UNCOMMON - A,UNCOMMON - A,RARE - S,"Ponds, lakes, marshes; in winter, also salt bays. In breeding season, chooses sites with heavy marsh vegetation but with some open water also. In migration and winter, still most likely on marshy freshwater ponds, but also on more open waters, including estuaries and coastal bays.",,,,,,,,
B0034,Aves,Charadriiformes,Alcidae,Brachyramphus marmoratus,Marbled Murrelet,76,,,,,,,,,,,RARE - A/ COMMON - A,ABUNDANT - A,,"Coastal waters, bays. Breeds inland on mountains near coast. Generally on ocean on calm protected waters near coast, as in bays, inlets, among islands; does most foraging in fairly shallow water. Sometimes found on lakes near coast. Nests on mountainsides on islands or well inland in mature forest.",,,,,,,,
B0035,Aves,Charadriiformes,Alcidae,Uria aalge,Common Murre,74,,,,,,,,,,,N/ COMMON - A,ABUNDANT - A,,"Ocean, large bays; colonies on sea cliffs. Favors cool ocean waters, both offshore and rather near coast, generally over continental shelf. Unlike Thick-billed Murre, tends to avoid areas of pack ice. Nests on coasts and islands, on ledges of cliffs and on flat bare rock atop sea stacks.",,,,,,,,
B0036,Aves,Charadriiformes,Alcidae,Ptychoramphus aleuticus,Cassins Auklet,79,,,,,,,,,,,N/ COMMON - A,COMMON - A,,"Ocean; colonizes sea islands. May use any kind of island for nesting (barren or forested, steep or level) as long as no predatory mammals are present. Otherwise at sea, often near nesting islands or in upwellings over continental shelf, but also far out over deep water.",,,,,,,,
B0037,Aves,Charadriiformes,Alcidae,Fratercula cirrhata,Tufted Puffin,82,,,,,,,,,,,N/ UNCOMMON - S,OCCASIONAL - S,,"Ocean, nesting colonially in burrows on sea cliffs. Ranges widely at sea, from fairly near shore to far out of sight of land. Even during breeding season, may be at sea far from nesting colonies. Nests on islands, primarily on grassy steep slopes or cliff tops (steep dropoff may help birds take flight). Throughout range, prefers treeless islands.",,,,,,,,
B0038,Aves,Charadriiformes,Alcidae,Fratercula arctica,Atlantic Puffin,83,,,UNKNOWN - W,,,,,,,,,,,"Coastal and offshore waters, open sea. Colonial; breeds in burrows and among rocks of sea islands. Favors cool or cold waters off North America. Outside of breeding season usually well offshore, even far out in mid-ocean. Nests on islands where nesting sites provided by soil for burrows or crevices among rocks.",,,,,,,,
B0039,Aves,Charadriiformes,Laridae,Larus delawarensis,Ring-Billed Gull,126,ABUNDANT - A,,COMMON - W,,,,,,UNCOMMON - A,COMMON - W,RARE - W/ UNCOMMON - W,UNCOMMON - W,RARE - W,"Lakes, bays, coasts, piers, dumps, plowed fields. Associated with water at all seasons, although it does much of its feeding on land. Favors fresh water as much as salt water, but often common along coast, especially at harbors and estuaries; rarely any distance offshore. Common around cities, docks, farm fields, landfills, other human-altered habitats.",,,,,,,,
B0040,Aves,Charadriiformes,Laridae,Larus argentatus,Herring Gull,127,ABUNDANT - A,,ABUNDANT - A,,,,,,COMMON - A,COMMON - W,,,,"Ocean coasts, bays, beaches, lakes, piers, farmlands, dumps. Wide variety of habitats, typically associated with water. Most numerous along coast and around large lakes, also along major river systems. Forages at sea, on beaches, mudflats, plowed fields, marshes, or where human activity provides food (garbage dumps, picnic grounds, docks, fishing operations). Nests on islands, sometimes on gravel roofs.",,,,,,,,
B0041,Aves,Charadriiformes,Laridae,Chlidonias niger,Black Tern,136,UNKNOWN - S,,,UNKNOWN - S/ N,UNCOMMON - S,,,,,,,,,"Fresh marshes, lakes; in migration, coastal waters. For nesting favors fresh waters with extensive marsh vegetation and open water, also sometimes in smaller marshes and wet meadows. In migration found on larger lakes and along coast. Winters in tropical coastal regions, mostly just offshore or around salt lagoons and estuaries.",,,,,,,,
B0042,Aves,Charadriiformes,Laridae,Rynchops niger,Black Skimmer,143,,,,,,,,,,COMMON - A,,,,"Mostly ocean beaches, tidewater. Favors coastal waters protected from open surf, such as lagoons, estuaries, inlets, sheltered bays. Locally on inland lakes in Florida and at Salton Sea, California. Nests on sandy islands, beaches, shell banks. In South America, occurs far inland along major rivers.",,,,,,,,
B0043,Aves,Charadriiformes,Laridae,Thalasseus maximus,Royal Tern,138,,,,,,,,,,ABUNDANT - A,,,,"Coasts, sandy beaches, salt bays. Favors warm coastal waters, especially those that are shallow and somewhat protected, as in bays, lagoons, estuaries. Also found well offshore at times, and travels freely between islands in the Caribbean. Usually nests on low-lying sandy islands.",,,,,,,,
B0044,Aves,Charadriiformes,Laridae,Hydroprogne caspia,Caspian Tern,139,,,,,,,,,,COMMON - W,OCCASIONAL - S/ COMMON - S,UNCOMMON - S,,"Large lakes, coastal waters, beaches, bays. Found on both fresh and salt water, favoring protected waters such as bays, lagoons, rivers, lakes, not usually foraging over open sea. Inland, more likely on large lakes than on small ponds. Nests on open ground on islands, coasts.",,,,,,,,
B0045,Aves,Charadriiformes,Laridae,Sterna hirundo,Common Tern,140,,,COMMON - S,,,,,,,,,,,"Lakes, ocean, bays, beaches. Wide range of aquatic habitats in summer, both coastal and inland waters in low-lying, open country, where shallow waters for fishing are close to undisturbed flat islands or beaches for nesting. Winters mostly along coastlines in warm subtropical or tropical waters.",,,,,,,,
B0046,Aves,Charadriiformes,Laridae,Sterna forsteri,Forsters Tern,140,,,,,,,,,,COMMON - W,,,,"Marshes (fresh or salt), lakes, bays, beaches. During summer is mostly around marshes, either coastal salt marsh or large marshy lakes in the interior. May visit any waters during migration. Winters mostly along coast, especially around estuaries, inlets, coastal lagoons, sheltered bays.",,,,,,,,
B0047,Aves,Charadriiformes,Laridae,Sternula antillarum,Least Tern,143,,,,,,,,,,COMMON - S,,,,"Sea beaches, bays, large rivers, salt flats. Along coast generally where sand beaches close to extensive shallow waters for feeding. Inland, found along rivers with broad exposed sandbars, lakes with salt flats nearby. In winter found along tropical coasts, sometimes well out to sea.",,,,,,,,
B0048,Aves,Charadriiformes,Charadriidae,Charadrius semipalmatus,Semipalmated Plover,210,,,,,,,,,,COMMON - W,,COMMON - W,,"Shores, tideflats. Favors very open habitats on migration, including broad mudflats, sandy beaches, lake shores, pools in salt marsh; sometimes in flooded fields or even plowed fields with other shorebirds. Tends to avoid flats overgrown with too much marsh vegetation. Breeds in the north, mostly on open flats of sand or gravel near water.",,,,,,,,
B0049,Aves,Charadriiformes,Charadriidae,Charadrius vociferus,Killdeer,211,COMMON - S,UNCOMMON - W,COMMON - S,COMMON - S,UNCOMMON - S,UNCOMMON - A,COMMON - A,OCCASIONAL - A,UNCOMMON - S,COMMON - A,UNCOMMON - A/ UNCOMMON - A,COMMON - A,RARE - S,"Fields, airports, lawns, river banks, mudflats, shores. Often found on open ground, such as pastures, plowed fields, large lawns, even at a great distance from water. Most successful nesting areas, however, have some shallow water or other good feeding area for the chicks. Also commonly found around water, on mudflats, lake shores, coastal estuaries.",,,,,,,,
B0050,Aves,Charadriiformes,Charadriidae,Charadrius alexandrinus,Snowy Plover,212,,,,,,,,,,,,RARE - A,,"Beaches, sandy flats. At all seasons, tends to be found in places where habitat matches pale color of back -- dry sand beaches along coast; salt pans or alkaline flats in interior. Usually in places with very little vegetation, not around marshes. Also sometimes forages on open mudflats.",,,,,,,,
B0051,Aves,Charadriiformes,Charadriidae,Charadrius melodus,Piping Plover,212,RARE - S,,UNKNOWN - S,,,,,,,UNCOMMON - W,,,,"Sandy beaches, tidal flats. Nests in open sandy situations near water, in a variety of settings: beaches along Atlantic Coast and Great Lakes; sandbars along major rivers on northern Great Plains; gravel or sand flats next to alkali lakes. Winters along coast, on tidal flats and beaches.",,,,,,,,
B0052,Aves,Charadriiformes,Charadriidae,Pluvialis squatarola,Black-Bellied Plover,209,,,,,,,,,,ABUNDANT - W,,UNCOMMON - W,,"Mudflats, open marshes, beaches; in summer, tundra. For nesting favors drier tundra, often more barren ridges above lowland lakes and rivers. Sometimes in lower wet tundra near coast. In winter mostly on open sand beaches, tidal flats. During migration will often stop in short-grass prairie or plowed fields.",,,,,,,,
B0053,Aves,Charadriiformes,Haematopodidae,Haematopus bachmani,Black Oystercatcher,215,,,,,,,,,,,N/ COMMON - A,COMMON - A,,"Rocky coasts, sea islets. Found at all seasons along rocky shorelines, especially on small offshore islands where predators are fewer; chooses areas with abundant shellfish and other marine life. In winter, also commonly found on mudflats close to rocky coastlines, but uses mudflats less in summer.",,,,,,,,
B0054,Aves,Charadriiformes,Scolopacidae,Tringa flavipes,Lesser Yellowlegs,216,,,,,,,,,,COMMON - W,,,,"Marshes, mudflats, shores, ponds; in summer, open boreal woods. Occurs widely in migration, including coastal estuaries, salt and fresh marshes, edges of lakes and ponds; typically more common on freshwater habitats. Often in same places as Greater Yellowlegs, but may be less frequent on tidal flats. Breeds in large clearings, such as burned areas, near ponds in northern forest.",,,,,,,,
B0055,Aves,Charadriiformes,Scolopacidae,Tringa melanoleuca,Greater Yellowlegs,216,,,,,,,,,,COMMON - W,OCCASIONAL - W/ UNCOMMON,RARE - W,,"Open marshes, mudflats, streams, ponds; in summer, wooded muskeg, spruce bogs. During migration and winter, found in wide variety of settings, including tidal flats, estuaries, open beaches, salt and fresh marshes, shores of lakes and ponds, riverbanks. Breeds in boggy and marshes places within northern coniferous forest.",,,,,,,,
B0056,Aves,Charadriiformes,Scolopacidae,Calidris mauri,Western Sandpiper,226,,,,,,,,,,ABUNDANT - W,N/ ABUNDANT - W,COMMON - W,,"Shores, beaches, mudflats; in summer, dry tundra. Migrants and wintering birds are typically on open shorelines, mudflats, sandy beaches, tidal estuaries. In winter mostly along coast, few remaining inland then. Breeds on tundra slopes, choosing dry sites with low shrub layer and with marshes nearby for feeding.",,,,,,,,
B0057,Aves,Charadriiformes,Scolopacidae,Calidris minutilla,Least Sandpiper,228,,,,,,,,,,ABUNDANT - W,N/ COMMON - W,ABUNDANT - W,,"Mudflats, grassy marshes, rainpools, shores. In migration, often more common inland than on coast, favoring muddy edges of marshes, ponds, rivers; sometimes in flooded fields or damp meadows. On coast, usually avoids sandy beaches and wide-open tidal flats, being found instead on narrow tidal creeks and edge of salt marsh. Breeds on tundra, sedge meadows, northern bogs.",,,,,,,,
B0058,Aves,Charadriiformes,Scolopacidae,Calidris alpina,Dunlin,232,,,,,,,,,,ABUNDANT - W,N/ COMMON - W,COMMON - W,,"Tidal flats, beaches, muddy pools; wet tundra in summer. During migration and winter, widespread in coastal habitats; mainly mudflats, but also sand beaches, rocky shores. Inland, occurs on lake shores, sewage ponds, flooded fields. Breeds on wet tundra, especially areas with hummocks, tussocks, and low ridges interspersed with ponds and marshy spots.",,,,,,,,
B0059,Aves,Charadriiformes,Scolopacidae,Calidris canutus,Red Knot,233,,,,,,,,,,COMMON - W,,,,"Tidal flats, shores; tundra (summer). In migration and winter on coastal mudflats and tidal zones, sometimes on open sandy beaches of the sort favored by Sanderlings. Nests on Arctic tundra, usually on rather high and barren areas inland from coast, but typically near a pond or stream.",,,,,,,,
B0060,Aves,Charadriiformes,Scolopacidae,Calidris alba,Sanderling,235,,,,,,,,,,COMMON - W,N/ COMMON - W,COMMON - W,,"Outer beaches, tideflats, lake shores; when nesting, stony tundra. At most seasons found on sandy beaches washed by waves. Sometimes on rocky shorelines, less often on mudflats. Typically coastal, but a few stop over on lake shores inland. In breeding season, mostly far above Arctic Circle on rather dry, rocky tundra with growth of moss, lichens, low plants, generally close to lakes or ponds.",,,,,,,,
B0061,Aves,Charadriiformes,Scolopacidae,Tringa semipalmata,Willet,218,,,UNKNOWN - S,UNCOMMON - S,,,,,,RARE - A,,COMMON - W,,"Marshes, wet meadows, mudflats, beaches. Eastern race nests in areas of extensive salt marsh along coast; western race nests inland, around fresh marshes in open country, especially native grassland. In migration and winter, both forms occur on mudflats, tidal estuaries, sandy beaches.",,,,,,,,
B0062,Aves,Charadriiformes,Scolopacidae,Bartramia longicauda,Upland Sandpiper,221,COMMON - S,,RARE - S,,,,,,UNKNOWN - S,,,,,"Grassy prairies, open meadows, fields. Favored nesting habitat is native grassland, with mixture of tall grass and broad-leafed weeds. In the northeast, where natural grassland is now scarce, may be found most often on airports. In migration, stops on open pastures, lawns. Almost never on mudflats or other typical shorebird habitats.",,,,,,,,
